danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.921,0.619,4,-6.79,0,0.0458,0.0238,0.00284,0.434,0.96,131.963,audio_features,3si0Pg2gkfxZhn3FnqmI2D,spotify:track:3si0Pg2gkfxZhn3FnqmI2D,https://api.spotify.com/v1/tracks/3si0Pg2gkfxZhn3FnqmI2D,https://api.spotify.com/v1/audio-analysis/3si0Pg2gkfxZhn3FnqmI2D,210721,4
0.871,0.459,1,-7.408,1,0.405,0.00748,0.00309,0.0806,0.268,142.984,audio_features,1KdLOxVGvRI5hChujmt1qr,spotify:track:1KdLOxVGvRI5hChujmt1qr,https://api.spotify.com/v1/tracks/1KdLOxVGvRI5hChujmt1qr,https://api.spotify.com/v1/audio-analysis/1KdLOxVGvRI5hChujmt1qr,147973,4
0.708,0.804,7,-6.763,1,0.142,0.297,9.11e-05,0.111,0.827,170.944,audio_features,6WbDwAoc5xr0kFflHZW0A4,spotify:track:6WbDwAoc5xr0kFflHZW0A4,https://api.spotify.com/v1/tracks/6WbDwAoc5xr0kFflHZW0A4,https://api.spotify.com/v1/audio-analysis/6WbDwAoc5xr0kFflHZW0A4,181053,4
0.854,0.668,1,-6.243,1,0.2,0.0604,8.39e-05,0.382,0.833,99.018,audio_features,7GUhiAHLoVy1V8ucQuZ3CB,spotify:track:7GUhiAHLoVy1V8ucQuZ3CB,https://api.spotify.com/v1/tracks/7GUhiAHLoVy1V8ucQuZ3CB,https://api.spotify.com/v1/audio-analysis/7GUhiAHLoVy1V8ucQuZ3CB,215467,4
0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,audio_features,0mflMxspEfB0VbI1kyLiAv,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347,4
0.284,0.755,1,-3.145,0,0.05,0.00335,0.00195,0.103,0.199,93.384,audio_features,5o4XJKRxUK6nXhFLAIS33A,spotify:track:5o4XJKRxUK6nXhFLAIS33A,https://api.spotify.com/v1/tracks/5o4XJKRxUK6nXhFLAIS33A,https://api.spotify.com/v1/audio-analysis/5o4XJKRxUK6nXhFLAIS33A,214067,4
0.592,0.927,1,-5.315,0,0.0437,0.0991,1.43e-05,0.257,0.416,85.013,audio_features,4sbl4SNfBkfijDEiaijhcC,spotify:track:4sbl4SNfBkfijDEiaijhcC,https://api.spotify.com/v1/tracks/4sbl4SNfBkfijDEiaijhcC,https://api.spotify.com/v1/audio-analysis/4sbl4SNfBkfijDEiaijhcC,150882,4
0.64,0.982,11,-3.368,0,0.0517,0.000368,2.1e-06,0.0767,0.769,123.016,audio_features,0Ag6LNrSfJVKRhGzD7ArDq,spotify:track:0Ag6LNrSfJVKRhGzD7ArDq,https://api.spotify.com/v1/tracks/0Ag6LNrSfJVKRhGzD7ArDq,https://api.spotify.com/v1/audio-analysis/0Ag6LNrSfJVKRhGzD7ArDq,243687,4
0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,audio_features,3vkCueOmm7xQDoJ17W1Pm3,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,137773,4
0.214,0.423,8,-9.454,0,0.0323,0.53,0.876,0.119,0.136,76.145,audio_features,60bF2b61f7Q5Bt82QCBwvc,spotify:track:60bF2b61f7Q5Bt82QCBwvc,https://api.spotify.com/v1/tracks/60bF2b61f7Q5Bt82QCBwvc,https://api.spotify.com/v1/audio-analysis/60bF2b61f7Q5Bt82QCBwvc,419773,4
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4Dvkj6JhhA12EX05fT7y2e,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,167303,4
